id;station_a;station_b;distance
;Zasieki;Zasieki (Gr);0.48
;Zasieki (Gr);Forst Lausitz;1.72
;Zgorzelec;Zgorzelec (Gr);1.019
;Zgorzelec (Gr);Goerlitz;0.411
;Szczecin Gumieńce;Szczecin Gumieńce Tan (Gr);10.070
;Szczecin Gumieńce Tan (Gr);Tantow;8.5
;Grambow;Loecknitz;9.890
;Szczecin Gumieńce;Szczecin Gumieńce Gra (Gr);8.415
;Szczecin Gumieńce Gra (Gr);Grambow;1.716
;Kostrzyn;Kostrzyn (Gr);1.891
;Kostrzyn (Gr);Kustrin-Kietz;2.066
;Międzylesie;Międzylesie (Gr);6.114
;Międzylesie (Gr);Lichkov;2.243
;Szklarska Poręba Jakuszyce;Jakuszyce (Gr);6.02
;Jakuszyce (Gr);Harrachov;1.219
;Słubice;Kunowice (Gr);2.173
;Kunowice (Gr);Frankfurt am Oder;5.943
;Cieszyn;Cieszyn (Gr);1.559
;Cieszyn (Gr);Cesky Tesin;0.947
;Mieroszów;Mieroszów (Gr);4.530
;Mieroszów (Gr);Mezimesti;1.938
;Chałupki;Chałupki (Gr);1.296
;Chałupki;Bohumin Vrbice;4.835
;Chałupki (Gr);Bohumin;3.136
;Terespol;Terespol (Gr);2.377
;Terespol (Gr);Brest-Centralnyi;3.61
;Skalite pod Polanou;Skalite;2.139
;Skalite Kudlov;Skalite pod Polanou;1.433
;Skalite Serafinov;Skalite Kudlov;2.552
;Zwardoń;Zwardoń (Gr);0.431
;Zwardoń (Gr);Skalite Serafinov;0.667
;Muszyna;Muszyna (Gr);7.536
;Muszyna (Gr);Plavec;6.792
;Łupków;Łupków (Gr);1.568
;Łupków (Gr);Medzilaborce Mesto;12.994
;Medzilaborce Mesto;Medzilaborce;1.549
;Lubawka;Kralovec;4.406
;Kuźnica Białostocka;Grodno;26.289
;Trakiszki;Trakiszki (Gr);3.432
;Trakiszki (Gr);Mockava;14.443
;Medyka;Medyka (Gr);1.160
;Medyka (Gr);Mostiska II;5.549
;Głuchołazy;Głuchołazy (Gr);5.650
;Głuchołazy (Gr);Mikulovice;2.553
;Głuchołazy;Pokrzywna (Gr);11.220
;Pokrzywna (Gr);Jindrichov ve Slezsku;4.054
;Gliwice;Zabrze;8.174
;Gliwice;Zabrze Makoszowy;8.442
;Gliwice;Bytom Bobrek;15.546
;Bytom Bobrek;Bytom;2.687
;Zabrze;Ruda Śląska;4.858
;Ruda Śląska;Ruda Chebzie;2.328
;Ruda Chebzie;Świętochłowice;3.327
;Świętochłowice;Chorzów Batory;2.247
;Chorzów Batory;Katowice Załęże;3.638
;Katowice Załęże;Katowice;2.147
;Katowice;Katowice Zawodzie;2.725
;Katowice Zawodzie;Katowice Szopienice Południowe;2.743
;Katowice Szopienice Południowe;Sosnowiec Główny;3.366
;Sosnowiec Główny;Będzin;4.02
;Będzin;Będzin Miasto;1.139
;Będzin Miasto;Będzin Ksawera;2.308
;Będzin Ksawera;Dąbrowa Górnicza;1.952
;Dąbrowa Górnicza;Dąbrowa Górnicza Gołonóg;3.399
;Dąbrowa Górnicza Gołonóg;Dąbrowa Górnicza Pogoria;1.328
;Dąbrowa Górnicza Pogoria;Dąbrowa Górnicza Ząbkowice;2.502
;Dąbrowa Górnicza Ząbkowice;Dąbrowa Górnicza Sikorka;3.694
;Dąbrowa Górnicza Sikorka;Chruszczobród;2.645
;Chruszczobród;Wiesiółka;2.217
;Wiesiółka;Łazy;3.686
;Łazy;Zawiercie;6.427
;Zawiercie;Zawiercie Borowe Pole;3.927
;Zawiercie Borowe Pole;Myszków Mrzygłód;3.93
;Myszków Mrzygłód;Myszków Światowit;2.928
;Myszków Światowit;Myszków;2.426
;Myszków;Myszków Nowa Wieś;3.491
;Myszków Nowa Wieś;Żarki Letnisko;3.437
;Żarki Letnisko;Masłońskie Natalin;3.301
;Masłońskie Natalin;Poraj;3.837
;Poraj;Korwinów;7.792
;Korwinów;Częstochowa Raków;5.758
;Częstochowa Raków;Częstochowa;3.655
;Częstochowa Raków;Częstochowa Stradom;5.09
;Częstochowa;Częstochowa Stradom;2.598
;Częstochowa Stradom;Częstochowa Gnaszyn;5.74
;Częstochowa Gnaszyn;Blachownia;4.814
;Blachownia;Herby Stare;6.889
;Herby Stare;Lisów;7.133
;Lisów;Kochanowice;4.038
;Kochanowice;Lubliniec;6.394
;Katowice;Katowice Brynów;3.405
;Katowice Brynów;Katowice Ligota;2.31
;Katowice Ligota;Katowice Piotrowice;1.673
;Katowice Piotrowice;Katowice Podlesie;3.73
;Katowice Podlesie;Tychy;5.487
;Tychy;Tychy Zachodnie;2.348
;Tychy Zachodnie;Tychy Aleja Bielska;0.505
;Tychy Aleja Bielska;Tychy Grota Roweckiego;0.429
;Tychy Grota Roweckiego;Tychy Lodowisko;1.268
;Tychy;Tychy Żwaków;3.15
;Tychy Żwaków;Kobiór;5.366
;Kobiór;Piasek;6.111
;Piasek;Pszczyna;4.321
;Pszczyna;Goczałkowice;3.613
;Goczałkowice;Goczałkowice Zdrój;1.334
;Goczałkowice Zdrój;Czechowice-Dziedzice;3.338
;Czechowice-Dziedzice;Czechowice-Dziedzice Przystanek;2.546
;Czechowice-Dziedzice Przystanek;Czechowice-Dziedzice Południowe;2
;Czechowice-Dziedzice Południowe;Bielsko-Biała Komorowice;3.467
