id;station_a;station_b;distance
;Adamowo;Wolsztyn;4.665
;Aleksandrów Kujawski;Otłoczyn;4.245
;Andrychów Górnica;Bulowice;3.172
;Andrychów;Andrychów Górnica;3.254
;Andrzejówka;Milik;2.607
;Anieliny;Samostrzel;3.534
;Antonin;Przygodzice;6.739
;Antoniów;Dęba Opoczyńska;4.134
;Antoniówka;Rajec Poduchowny;1.994
;Arcelin;Płońsk;6.228
;Augustów Port;Blizna;5.387
;Augustów;Augustów Port;1.837
;Augustówka;Pilawa;3.893
;Babi Dół;Borkowo;4.935
;Babiak;Piotrków Kujawski;23.285
;Babica Kolonia;Czudec;2.81
;Babica;Babica Kolonia;2.391
;Babimost;Zbąszynek;9.228
;Baborówko;Szamotuły;3.615
;Baboszewo;Arcelin;4.759
;Baby;Moszczenica;3.899
;Baciuty;Trypucie;3.856
;Bajtkowo;Nowa Wieś Ełcka;7.691
;Balin;Trzebinia;5.625
;Balinka;Augustów;13.323
;Bańska Niżna;Biały Dunajec;2.579
;Baranówka;Zastów;3.766
;Barchów;Łochów;3.272
;Barcice;Rytro;5.655
;Barcząca;Mienia;4.261
;Barczewo;Wipsowo;8.686
;Bardo Przyłęk;Bardo Śląskie;1.894
;Bardo Śląskie;Ławica;5.961
;Barłogi;Koło;9.55
;Bartąg;Olsztyn Dajtki;6.246
;Bartnica;Głuszyca Górna;4.812
;Bartodzieje;Lesiów;5.41
;Barwałd Górny;Barwałd Średni;2.063
;Barwałd Średni;Klecza Górna;3.268
;Barzkowice;Pęzino;4.639
;Baszewice;Płoty;7.711
;Basznia Dolna;Basznia;3.341
;Basznia;Horyniec-Zdrój;8.012
;Batowice Lubańskie;Mikułowa;3.32
;Bażanowice;Goleszów Górny;2.626
;Bąkowiec;Garbatka-Letnisko;7.033
;Bąków;Kluczbork;8.366
;Bednary;Mysłaków;3.456
;Bedoń;Łódź Andrzejów;2.203
;Belęcin Wielkopolski;Stefanowo;4.38
;Bełchów;Sierakowice Skierniewickie;3.68
;Bełsznica;Olza;2.86
;Bełżec Drugi;Bełżec;3.48
;Bełżec;Lubycza Królewska;7.43
;Berejów;Tarło;2.874
;Berezów;Łączna;5.172
;Besko;Zarszyn;4.69
;Będów;Radnica;3.446
;Będziemyśl;Trzciana;5.359
;Będzin Ksawera;Dąbrowa Górnicza;1.952
;Będzin Miasto;Będzin Ksawera;2.308
;Będzino;Słowienkowo;3.271
;Będźmierowice;Czersk;5.265
;Biadki;Daniszyn;3.426
;Biadoliny;Bogumiłowice;9.733
;Biała Górna;Rokitki;5.13
;Biała Pilska;Stobno;8.978
;Biała Piska;Drygały;9.127
;Biała Podlaska;Ogrodniki;7.943
;Białki Siedleckie;Kosiorki;2.998
;Białogard;Karlino;8.1
;Białogard;Czarnowęsy Pomorskie;7.888
;Białośliwie;Miasteczko Krajeńskie;7.065
;Białuń;Goleniów;6.195
;Biały Bór;Słosinko;10.397
;Biały Dunajec;Poronin;3.61
;Biały Kościół;Henryków;7.426
;Biały Zdrój Południowy;Kalisz Pomorski;5.61
;Białystok Bacieczki;Fasty;4.622
;Białystok Fabryczny;Kuriany;9.824
;Białystok Nowe Miasto;Białystok;4.418
;Białystok Stadion;Białystok Nowe Miasto;1.475
;Białystok Starosielce;Białystok Bacieczki;3.458
;Białystok Wiadukt;Białystok;3.735
;Białystok;Wasilków;7.85
;Białystok;Białystok Fabryczny;3.709
;Białystok;Białystok Starosielce;4.555
;Biecz;Siepietnica;3.537
;Bieczyno Pomorskie;Trzebiatów;6.471
;Bielany Wrocławskie;Domasław;3.374
;Bielawa Centralna;Dzierżoniów Śląski;4.758
;Bielawa Zachodnia;Bielawa Centralna;1.290
;Bielin;Witnica Chojeńska;5.124
;Bieliny Opoczyńskie;Zygmuntów;4.992
;Bielsk Podlaski;Orzechowicze;5.932
;Bielsko-Biała Główna;Bielsko-Biała Lipnik;1.587
;Bielsko-Biała Komorowice;Bielsko-Biała Północ;2.132
;Bielsko-Biała Leszczyny;Bielsko-Biała Mikuszowice;1.89
;Bielsko-Biała Lipnik;Bielsko-Biała Leszczyny;2.286
;Bielsko-Biała Mikuszowice;Wilkowice Bystra;2.82
;Bielsko-Biała Północ;Bielsko-Biała Główna;1.365
;Bielsko-Biała Wschód;Bielsko-Biała Główna;1.368
;Bieniów;Lubanice;5.121
;Bierawa;Dziergowice;6.385
;Bierkowice;Gorzuchów Kłodzki;2.878
;Biernatowo;Siedlisko Czarnkowskie;4.797
;Bierutów;Solniki Wielkie;4.715
;Bierzwnik;Rębusz;5.464
;Biesal;Unieszewo;7.32
;Biesowice;Kępka;2.677
;Biłgoraj;Stalowa Wola Południe;47.653
;Biniew;Bronów;6.38
;Bińcze;Domisław;7.017
;Biskupice koło Kluczborka;Byczyna Kluczborska;4.7
;Biskupice Oławskie;Borucice;3.057
;Biskupice Wielkopolskie;Promno;3.138
;Biskupice;Trawniki;4.462
;Biskupiec Pomorski;Jamielnik;8.877
;Biskupnica;Bińcze;5.56
;Blachownia;Herby Stare;6.889
;Blizna;Szczepki;7.565
;Bliżyn;Brzask;3.729
;Błaszki;Sędzice;8.658
;Błażkowa;Lubawka;4.732
;Błądzim;Lipienica;3.275
;Błonie;Witanów;2.434
;Błotnica Strzelecka;Strzelce Opolskie;7.813
;Błotnica;Perkowo;2.614
;Bobowa;Bobowa-Miasto;1.796
;Bobowa-Miasto;Jankowa;1.418
;Bobrowniki;Bełchów;3.954
;Bobrowo Pomorskie;Złocieniec;3.958
;Bobrówka;Zagrody;3.276
;Bobry;Widzów Teklinów;5.769
;Bochnia;Rzezawa;6.082
;Boczów;Rzepin;9.709
;Bogaczewo;Pasłęk;4.256
;Bogaczów;Nowogród Bobrzański;3.944
;Bogdaniec;Łupowo;3.238
;Bogdanowo;Oborniki Wielkopolskie Miasto;1.734
;Bogoniowice Ciężkowice;Pławna;5.89
;Boguchwała Dolna;Boguchwała;1.364
;Boguchwała;Wisłoczanka;4.03
;Bogumiłowice;Tarnów Mościce;3.966
;Boguszewo;Linowo;2.465
;Boguszów-Gorce Dzikowiec;Unisław Śląski;1.86
;Boguszów-Gorce Wschód;Boguszów-Gorce Dzikowiec;2.931
;Boguszów-Gorce Wschód;Boguszów-Gorce;1.643
;Boguszów-Gorce Zachód;Witków Śląski;4.665
;Boguszów-Gorce;Boguszów-Gorce Zachód;2.839
;Bojanowo;Góra Śląska;14.864
;Bojanowo;Kaczkowo;6.541
;Bojary;Baciuty;3.134
;Boksycka;Ostrowiec Świętokrzyski;4.256
;Bolechowo;Owińska;3.206
;Bolesławice Świdnickie;Jaworzyna Śląska;4.549
;Bolesławiec;Zebrzydowa;13.025
;Boleszewo;Nowy Jarosław;4.39
;Boleszkowice;Mieszkowice;5.432
;Boreczek;Warkocz;5.876
;Borki-Kosy;Dziewule;4.442
;Borkowice;Kluczbork;6.577
;Borkowo;Żukowo;2.404
;Boronów;Strzebiń;5.713
;Borowa Oleśnicka;Oleśnica;8.027
;Borowiki;Czeremcha;10.216
;Borowina;Krzywda;5.652
;Borsukówka;Knyszyn;7.167
;Borszewice;Zduńska Wola;6.179
;Borucice;Rogalice;3.544
;Boszkowo;Starkowo;2.612
;Boża Wola;Seroki;4.216
;Bożacin;Wolenice;4.566
;Bożepole Wielkie;Godętowo;6.855
;Brachlewo;Ryjewo;4.718
;Bratków;Tomaszówek;0.735
;Bratoszewice;Głowno;4.547
;Brochocin Trzebnicki;Trzebnica;4.04
;Brody Iłżeckie;Staw Kunowski;3.845
;Brody Warszawskie;Studzianki Nowe;2.607
;Brokęcino;Lotyń;4.9
;Bronów;Taczanów;5.045
;Brusy;Lubnia;6.01
;Brwinów;Milanówek;3.948
;Brzask;Skarżysko Milica;3.589
;Brzeg Dolny;Łososiowice;5.256
;Brzeg Głogowski;Czerna;2.637
;Brzeg;Lipki;8.629
;Brzeg;Olszanka;7.207
;Brzesko Okocim;Sterkowiec;4.878
;Brzeszcze Jawiszowice;Jawiszowice Jaźnik;2.829
;Brzeszcze;Brzeszcze Jawiszowice;3.448
;Brzezie;Lubanie;6.28
;Brzezinka Średzka;Czerna Mała;2.583
;Brzeziny;Dębska Wola;9.211
;Brzeźnica Bychawska;Berejów;2.208
;Brzeźnica;Półwieś;3.915
;Brzeźno Człuchowskie;Człuchów;7.621
;Brzoza Bydgoska;Trzciniec;8.004
;Brzoza Toruńska;Toruń Czerniewice;1.756
;Brzozowica;Misie;5.614
;Brzozowiec Gorzowski;Deszczno;4.787
;Brzustów;Antoniów;5.129
;Buchałów;Letnica;5.36
;Budachów;Pliszka;7.255
;Budki Nowe;Kramsk;6.084
;Budy Głogowskie;Głogów Małopolski;3.626
;Budziszowice;Jasienica Dolna;2.939
;Budzyń;Ostrówki koło Chodzieży;5.168
;Bujaki;Waplewo;5.573
;Buk;Wojnowice Wielkopolskie;4.448
;Bukowa;Ludynia;4.161
;Bukowice Trzebnickie;Krośnice;8.252
;Bukowiec Międzyrzecki;Międzyrzecz;10.797
;Bukowina Sycowska;Międzybórz Sycowski;5.312
;Bukowno Przymiarki;Sławków;3.923
;Bukowno;Jaworzno Szczakowa;12.223
;Bukowno;Bukowno Przymiarki;3.8
;Bukowo Człuchowskie;Lipka Krajeńska;11.331
;Bukowo;Borkowice;5.615
;Bukwałd;Cerkiewnik;5.193
;Bulowice;Zamek Bulowicki;2.062
;Burkat;Turza Wielka;5.075
;Burkatów;Bystrzyca Górna;2.021
;Bursztynowo;Jabłonowo Pomorskie;7.344
;Byczyna Kluczborska;Kostów;7.135
;Bydgoszcz Bielawy;Bydgoszcz Wschód;2.095
;Bydgoszcz Błonie;Bydgoszcz Główna;4.309
;Bydgoszcz Brdyujście;Bydgoszcz Politechnika;1.833
;Bydgoszcz Fordon;Ostromecko;5.508
;Bydgoszcz Główna;Bydgoszcz Leśna;3.715
;Bydgoszcz Główna;Bydgoszcz Zachód;3.01
;Bydgoszcz Główna;Rynkowo Wiadukt;2.24
;Bydgoszcz Leśna;Bydgoszcz Bielawy;1.948
;Bydgoszcz Łęgnowo;Bydgoszcz Wschód;3.601
;Bydgoszcz Osowa Góra;Pawłówek;3.884
;Bydgoszcz Politechnika;Bydgoszcz Fordon;1.508
;Bydgoszcz Wschód;Bydgoszcz Brdyujście;1.874
;Bydgoszcz Zachód;Bydgoszcz Osowa Góra;2.911
;Bystra Podhalańska;Jordanów;4.715
;Bystrzyca Górna;Lubachów;1.785
;Bystrzyca Kłodzka Przedmieście;Długopole-Zdrój;5.555
;Bystrzyca Kłodzka;Bystrzyca Kłodzka Przedmieście;1.452
;Bystrzyca koło Lublina;Ciecierzyn;3.893
;Bytnica;Budachów;5.123
;Bytom Bobrek;Bytom;2.687
;Bytom Karb;Bytom Północny;2.984
;Bytom Odrzański;Nowa Sól;11.967
;Bytom Północny;Radzionków Rojca;2.551
;Bytom;Bytom Karb;2.691
;Bytonia;Kaliska;4.656
;Bzowiec;Rogiedle;3.1
;Cegłów;Mrozy;4.901
